16.0,Elev,1,  arrived at dest, -1, this call is done!, Elevator call,4.37472729,0,-1,3,1, Done, dt, 11.62527271
28.0,Elev,1,  arrived at dest, 0, this call is done!, Elevator call,16.95788289,-1,0,3,1, Done, dt, 11.04211711
34.0,Elev,0,  arrived at dest, -1, this call is done!, Elevator call,22.0940563,0,-1,3,0, Done, dt, 11.905943700000002
103.0,Elev,0,  arrived at dest, -2, this call is done!, Elevator call,91.21019413,-1,-2,3,0, Done, dt, 11.789805869999995
109.0,Elev,1,  arrived at dest, 2, this call is done!, Elevator call,85.52096662,3,2,3,1, Done, dt, 23.479033380000004
132.0,Elev,0,  arrived at dest, 0, this call is done!, Elevator call,109.2135291,-1,0,3,0, Done, dt, 22.786470899999998
143.0,Elev,1,  arrived at dest, 4, this call is done!, Elevator call,104.1370124,0,4,3,1, Done, dt, 38.8629876
155.0,Elev,1,  arrived at dest, 0, this call is done!, Elevator call,114.392351,3,0,3,1, Done, dt, 40.607648999999995
161.0,Elev,0,  arrived at dest, 9, this call is done!, Elevator call,124.425571,0,9,3,0, Done, dt, 36.574428999999995
172.0,Elev,0,  arrived at dest, 10, this call is done!, Elevator call,130.0249568,8,10,3,0, Done, dt, 41.97504319999999
187.0,Elev,1,  arrived at dest, 0, this call is done!, Elevator call,169.7845834,-1,0,3,1, Done, dt, 17.215416599999998
198.0,Elev,1,  arrived at dest, 1, this call is done!, Elevator call,130.2249113,-1,1,3,1, Done, dt, 67.7750887
210.0,Elev,1,  arrived at dest, 4, this call is done!, Elevator call,137.9515274,0,4,3,1, Done, dt, 72.0484726
222.0,Elev,1,  arrived at dest, 8, this call is done!, Elevator call,171.2117332,-1,8,3,1, Done, dt, 50.7882668
224.0,Elev,0,  arrived at dest, -2, this call is done!, Elevator call,187.7299318,-1,-2,3,0, Done, dt, 36.2700682
246.0,Elev,0,  arrived at dest, 0, this call is done!, Elevator call,205.9895199,-1,0,3,0, Done, dt, 40.010480099999995
247.0,Elev,1,  arrived at dest, -1, this call is done!, Elevator call,174.8438515,0,-1,3,1, Done, dt, 72.1561485
247.0,Elev,1,  arrived at dest, -1, this call is done!, Elevator call,232.9504362,0,-1,3,1, Done, dt, 14.049563799999987
261.0,Elev,0,  arrived at dest, 5, this call is done!, Elevator call,227.0798305,-1,5,3,0, Done, dt, 33.920169499999986
272.0,Elev,0,  arrived at dest, 6, this call is done!, Elevator call,143.9133584,0,6,3,0, Done, dt, 128.0866416
272.0,Elev,0,  arrived at dest, 6, this call is done!, Elevator call,170.0099621,0,6,3,0, Done, dt, 101.9900379
278.0,Elev,1,  arrived at dest, -2, this call is done!, Elevator call,187.1167862,-1,-2,3,1, Done, dt, 90.8832138
278.0,Elev,1,  arrived at dest, -2, this call is done!, Elevator call,251.1044469,-1,-2,3,1, Done, dt, 26.8955531
289.0,Elev,1,  arrived at dest, 0, this call is done!, Elevator call,231.5157882,-1,0,3,1, Done, dt, 57.4842118
289.0,Elev,1,  arrived at dest, 0, this call is done!, Elevator call,257.7974435,-1,0,3,1, Done, dt, 31.202556500000014
300.0,Elev,1,  arrived at dest, 1, this call is done!, Elevator call,197.5359191,-1,1,3,1, Done, dt, 102.4640809
307.0,Elev,0,  arrived at dest, 9, this call is done!, Elevator call,251.2359335,0,9,3,0, Done, dt, 55.76406650000001
322.0,Elev,1,  arrived at dest, 4, this call is done!, Elevator call,254.6977153,3,4,3,1, Done, dt, 67.3022847
336.0,Elev,0,  arrived at dest, 0, this call is done!, Elevator call,304.9984388,6,0,3,0, Done, dt, 31.001561200000026
344.0,Elev,1,  arrived at dest, 7, this call is done!, Elevator call,195.9086965,0,7,3,1, Done, dt, 148.0913035
347.0,Elev,0,  arrived at dest, -1, this call is done!, Elevator call,309.3005383,0,-1,3,0, Done, dt, 37.69946169999997
355.0,Elev,1,  arrived at dest, 5, this call is done!, Elevator call,319.905202,6,5,3,1, Done, dt, 35.094798000000026
358.0,Elev,0,  arrived at dest, 0, this call is done!, Elevator call,320.9760749,-1,0,3,0, Done, dt, 37.023925099999985
378.0,Elev,0,  arrived at dest, 10, this call is done!, Elevator call,332.4267319,0,10,3,0, Done, dt, 45.57326810000001
379.0,Elev,1,  arrived at dest, -1, this call is done!, Elevator call,312.3018556,0,-1,3,1, Done, dt, 66.69814439999999
379.0,Elev,1,  arrived at dest, -1, this call is done!, Elevator call,316.0323783,0,-1,3,1, Done, dt, 62.967621699999995
379.0,Elev,1,  arrived at dest, -1, this call is done!, Elevator call,321.370409,7,-1,3,1, Done, dt, 57.629591000000005
390.0,Elev,1,  arrived at dest, 0, this call is done!, Elevator call,336.9304305,-1,0,3,1, Done, dt, 53.0695695
411.0,Elev,1,  arrived at dest, 1, this call is done!, Elevator call,295.7943357,0,1,3,1, Done, dt, 115.20566430000002
423.0,Elev,1,  arrived at dest, 5, this call is done!, Elevator call,392.5160765,0,5,3,1, Done, dt, 30.483923500000003
446.0,Elev,1,  arrived at dest, 0, this call is done!, Elevator call,375.490481,1,0,3,1, Done, dt, 70.50951900000001
446.0,Elev,1,  arrived at dest, 0, this call is done!, Elevator call,426.8615805,2,0,3,1, Done, dt, 19.138419499999998
468.0,Elev,0,  arrived at dest, 0, this call is done!, Elevator call,437.1711158,1,0,3,0, Done, dt, 30.828884200000005
473.0,Elev,1,  arrived at dest, 10, this call is done!, Elevator call,405.1821141,-1,10,3,1, Done, dt, 67.81788590000002
489.0,Elev,1,  arrived at dest, -1, this call is done!, Elevator call,472.7445474,10,-1,3,1, Done, dt, 16.255452600000012
527.0,Elev,0,  arrived at dest, -1, this call is done!, Elevator call,503.1384784,1,-1,3,0, Done, dt, 23.861521600000003
551.0,Elev,1,  arrived at dest, -1, this call is done!, Elevator call,500.3712045,8,-1,3,1, Done, dt, 50.628795500000024
551.0,Elev,1,  arrived at dest, -1, this call is done!, Elevator call,504.4317942,0,-1,3,1, Done, dt, 46.56820579999999
551.0,Elev,1,  arrived at dest, -1, this call is done!, Elevator call,529.6277472,3,-1,3,1, Done, dt, 21.372252799999956
555.0,Elev,0,  arrived at dest, 6, this call is done!, Elevator call,537.7866884,-1,6,3,0, Done, dt, 17.213311599999997
582.0,Elev,0,  arrived at dest, -1, this call is done!, Elevator call,544.7880392,6,-1,3,0, Done, dt, 37.21196080000004
582.0,Elev,0,  arrived at dest, -1, this call is done!, Elevator call,565.0195522,0,-1,3,0, Done, dt, 16.98044779999998
596.0,Elev,1,  arrived at dest, 0, this call is done!, Elevator call,554.0892923,4,0,3,1, Done, dt, 41.91070769999999
596.0,Elev,1,  arrived at dest, 0, this call is done!, Elevator call,557.244139,10,0,3,1, Done, dt, 38.75586099999998
608.0,Elev,1,  arrived at dest, 3, this call is done!, Elevator call,581.870309,0,3,3,1, Done, dt, 26.12969099999998
624.0,Elev,0,  arrived at dest, 0, this call is done!, Elevator call,600.931288,1,0,3,0, Done, dt, 23.068712000000005
637.0,Elev,0,  arrived at dest, 3, this call is done!, Elevator call,617.9628339,0,3,3,0, Done, dt, 19.037166100000036
657.0,Elev,1,  arrived at dest, 0, this call is done!, Elevator call,596.1232023,8,0,3,1, Done, dt, 60.8767977
657.0,Elev,1,  arrived at dest, 0, this call is done!, Elevator call,603.9342327,7,0,3,1, Done, dt, 53.06576729999995
657.0,Elev,1,  arrived at dest, 0, this call is done!, Elevator call,619.6454197,9,0,3,1, Done, dt, 37.35458029999995
690.0,Elev,0,  arrived at dest, 3, this call is done!, Elevator call,661.042082,-1,3,3,0, Done, dt, 28.95791799999995
690.0,Elev,1,  arrived at dest, 1, this call is done!, Elevator call,626.2116172,0,1,3,1, Done, dt, 63.78838280000002
701.0,Elev,1,  arrived at dest, 2, this call is done!, Elevator call,643.8547515,-1,2,3,1, Done, dt, 57.14524849999998
702.0,Elev,0,  arrived at dest, 5, this call is done!, Elevator call,662.1730528,-1,5,3,0, Done, dt, 39.82694719999995
715.0,Elev,0,  arrived at dest, 8, this call is done!, Elevator call,665.1155549,-1,8,3,0, Done, dt, 49.88444509999999
735.0,Elev,1,  arrived at dest, 10, this call is done!, Elevator call,660.0732908,6,10,3,1, Done, dt, 74.9267092
744.0,Elev,0,  arrived at dest, -1, this call is done!, Elevator call,666.2411587,5,-1,3,0, Done, dt, 77.75884129999997
765.0,Elev,0,  arrived at dest, 10, this call is done!, Elevator call,695.2239882,0,10,3,0, Done, dt, 69.77601179999999
771.0,Elev,1,  arrived at dest, 0, this call is done!, Elevator call,666.0340295,4,0,3,1, Done, dt, 104.96597050000003
771.0,Elev,1,  arrived at dest, 0, this call is done!, Elevator call,713.0191971,1,0,3,1, Done, dt, 57.98080289999996
771.0,Elev,1,  arrived at dest, 0, this call is done!, Elevator call,737.3147202,1,0,3,1, Done, dt, 33.68527979999999
782.0,Elev,1,  arrived at dest, -1, this call is done!, Elevator call,672.6773142,0,-1,3,1, Done, dt, 109.32268580000004
782.0,Elev,1,  arrived at dest, -1, this call is done!, Elevator call,677.7341948,0,-1,3,1, Done, dt, 104.26580520000005
782.0,Elev,1,  arrived at dest, -1, this call is done!, Elevator call,713.2499766,10,-1,3,1, Done, dt, 68.75002340000003
782.0,Elev,1,  arrived at dest, -1, this call is done!, Elevator call,732.9746341,6,-1,3,1, Done, dt, 49.0253659
785.0,Elev,0,  arrived at dest, 0, this call is done!, Elevator call,722.6161213,10,0,3,0, Done, dt, 62.38387869999997
793.0,Elev,1,  arrived at dest, -2, this call is done!, Elevator call,678.9953585,-1,-2,3,1, Done, dt, 114.00464150000005
793.0,Elev,1,  arrived at dest, -2, this call is done!, Elevator call,706.1583475,-1,-2,3,1, Done, dt, 86.84165250000001
804.0,Elev,1,  arrived at dest, 0, this call is done!, Elevator call,727.5146029,-1,0,3,1, Done, dt, 76.4853971
815.0,Elev,1,  arrived at dest, 1, this call is done!, Elevator call,710.324977,0,1,3,1, Done, dt, 104.67502300000001
828.0,Elev,0,  arrived at dest, -2, this call is done!, Elevator call,805.6754743,-1,-2,3,0, Done, dt, 22.32452569999998
838.0,Elev,1,  arrived at dest, 5, this call is done!, Elevator call,779.3996914,-1,5,3,1, Done, dt, 58.60030859999995
863.0,Elev,1,  arrived at dest, 0, this call is done!, Elevator call,810.4469089,2,0,3,1, Done, dt, 52.55309109999996
864.0,Elev,0,  arrived at dest, 0, this call is done!, Elevator call,825.4575185,7,0,3,0, Done, dt, 38.54248150000001
874.0,Elev,1,  arrived at dest, -1, this call is done!, Elevator call,816.1516998,7,-1,3,1, Done, dt, 57.84830020000004
875.0,Elev,0,  arrived at dest, -1, this call is done!, Elevator call,863.8932913,0,-1,3,0, Done, dt, 11.106708700000013
887.0,Elev,0,  arrived at dest, 1, this call is done!, Elevator call,839.8525653,0,1,3,0, Done, dt, 47.14743469999996
909.0,Elev,1,  arrived at dest, 7, this call is done!, Elevator call,870.5053024,0,7,3,1, Done, dt, 38.494697599999995
910.0,Elev,0,  arrived at dest, -2, this call is done!, Elevator call,886.5649993,-1,-2,3,0, Done, dt, 23.435000700000046
943.0,Elev,1,  arrived at dest, 5, this call is done!, Elevator call,910.5388559,6,5,3,1, Done, dt, 32.461144099999956
947.0,Elev,0,  arrived at dest, -1, this call is done!, Elevator call,915.9490575,4,-1,3,0, Done, dt, 31.05094250000002
956.0,Elev,1,  arrived at dest, -1, this call is done!, Elevator call,854.2002278,6,-1,3,1, Done, dt, 101.7997722
956.0,Elev,1,  arrived at dest, -1, this call is done!, Elevator call,892.5212151,9,-1,3,1, Done, dt, 63.47878490000005
1006.0,Elev,0,  arrived at dest, 0, this call is done!, Elevator call,972.8032126,1,0,3,0, Done, dt, 33.19678739999995
1016.0,Elev,1,  arrived at dest, 5, this call is done!, Elevator call,933.8580452,7,5,3,1, Done, dt, 82.14195480000001
1017.0,Elev,0,  arrived at dest, -1, this call is done!, Elevator call,975.8361203,0,-1,3,0, Done, dt, 41.16387970000005
1029.0,Elev,1,  arrived at dest, 0, this call is done!, Elevator call,978.5925149,10,0,3,1, Done, dt, 50.40748510000003
1029.0,Elev,1,  arrived at dest, 0, this call is done!, Elevator call,984.1840186,7,0,3,1, Done, dt, 44.815981400000055
1040.0,Elev,1,  arrived at dest, -1, this call is done!, Elevator call,961.6862856,6,-1,3,1, Done, dt, 78.31371439999998
1040.0,Elev,1,  arrived at dest, -1, this call is done!, Elevator call,978.6210501,10,-1,3,1, Done, dt, 61.37894989999995
